,time,thscode,ths_the_new_csrc_industry_stock,ths_china_securities_industry_stock,ths_avg_held_num_growth_q_stock,ths_avg_held_num_growth_6m_stock,ths_total_current_assets_stock,ths_sq_operating_total_revenue_stock,ths_sq_np_stock,ths_total_profit_to_oi_ttm_stock,ths_avg_price_stock,ths_vol_stock,ths_inflow_vol_stock,ths_outflow_vol_stock,ths_the_amac_index_stock,ths_ygzs_new_stock,ths_sm_num_stock,ths_techcore_num_stock,ths_total_shares_stock,ths_total_float_shares_stock,ths_float_ashare_to_total_shares_stock,ths_hk_listed_stock_ratio_stock,ths_overseas_listed_shares_ratio_stock,ths_top10_hlolder_held_ratio_stock,ths_top10_float_hlolder_held_ratio_stock,ths_qfii_held_ratio_stock,ths_fund_held_ratio_stock,ths_broker_held_ratio_stock,ths_accum_pledge_num_ratio_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_roe_avg_by_ths_stock,ths_net_interest_of_ta_stock,ths_gross_selling_rate_stock,ths_np_to_revenue_stock,ths_rad_cost_to_revenue_stock,ths_bisic_eps_yoy_stock,ths_operating_revenue_yoy_stock,ths_np_yoy_stock,ths_net_assets_yoy_stock,ths_rad_amt_yoy_stock,ths_asset_liab_ratio_stock,ths_current_asset_turnover_stock,ths_fixed_asset_turnover_ratio_stock,ths_operating_capital_turnover_stock,ths_dividend_benchmark_shares_stock,ths_dividend_ps_before_tax_stock,ths_dividend_ratio_stock,ths_turnover_ratio_stock,ths_net_infow_stock,ths_main_inflow_rate_stock,ths_int_illegality_num_stock,ths_int_illegality_amt_stock,ths_float_holder_held_mv_stock,ths_org_holder_type_stock,ths_fixed_asset_sum_pit_stock,ths_total_revenue_growth_ny_stock,ths_operating_profit_growth_ny_stock,ths_net_profit_growth_ny_stock,ths_total_assets_growth_ny_stock,ths_holder_equity_growth_ny_stock,ths_net_asset_yield_growth_ny_stock,ths_open_price_stock,ths_close_price_stock,ths_low_stock,ths_high_price_stock,year,ths_latest_subject_rating_stock,ths_revenue_pp_stock,ths_sm_annual_total_salary_stock,ths_postgraduate_num_ratio_stock,ths_tech_num_ratio_stock,ths_manage_staff_ratio_stock
0,2017-12-08,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
1,2017-12-11,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
2,2017-12-12,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
3,2017-12-13,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
4,2017-12-14,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
5,2017-12-15,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
6,2017-12-18,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
7,2017-12-19,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
8,2017-12-20,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
9,2017-12-21,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
10,2017-12-22,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
11,2017-12-25,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
12,2017-12-26,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
13,2017-12-27,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
14,2017-12-28,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
15,2017-12-29,300750.SZ,制造业,,,,,,,,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2017,Baa1,,2070.34,,23.281897899531,
16,2018-01-02,300750.SZ,制造业,,,,,,,24.244306500075,,,0.0,0.0,,,6,0,1955193267.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般法人,,,,,,,,,,,,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553
