,time,thscode,ths_the_new_csrc_industry_stock,ths_china_securities_industry_stock,ths_avg_held_num_growth_q_stock,ths_avg_held_num_growth_6m_stock,ths_total_current_assets_stock,ths_sq_operating_total_revenue_stock,ths_sq_np_stock,ths_total_profit_to_oi_ttm_stock,ths_avg_price_stock,ths_vol_stock,ths_inflow_vol_stock,ths_outflow_vol_stock,ths_the_amac_index_stock,ths_ygzs_new_stock,ths_sm_num_stock,ths_techcore_num_stock,ths_total_shares_stock,ths_total_float_shares_stock,ths_float_ashare_to_total_shares_stock,ths_hk_listed_stock_ratio_stock,ths_overseas_listed_shares_ratio_stock,ths_top10_hlolder_held_ratio_stock,ths_top10_float_hlolder_held_ratio_stock,ths_qfii_held_ratio_stock,ths_fund_held_ratio_stock,ths_broker_held_ratio_stock,ths_accum_pledge_num_ratio_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_roe_avg_by_ths_stock,ths_net_interest_of_ta_stock,ths_gross_selling_rate_stock,ths_np_to_revenue_stock,ths_rad_cost_to_revenue_stock,ths_bisic_eps_yoy_stock,ths_operating_revenue_yoy_stock,ths_np_yoy_stock,ths_net_assets_yoy_stock,ths_rad_amt_yoy_stock,ths_asset_liab_ratio_stock,ths_current_asset_turnover_stock,ths_fixed_asset_turnover_ratio_stock,ths_operating_capital_turnover_stock,ths_dividend_benchmark_shares_stock,ths_dividend_ps_before_tax_stock,ths_dividend_ratio_stock,ths_turnover_ratio_stock,ths_net_infow_stock,ths_main_inflow_rate_stock,ths_int_illegality_num_stock,ths_int_illegality_amt_stock,ths_float_holder_held_mv_stock,ths_org_holder_type_stock,ths_fixed_asset_sum_pit_stock,ths_total_revenue_growth_ny_stock,ths_operating_profit_growth_ny_stock,ths_net_profit_growth_ny_stock,ths_total_assets_growth_ny_stock,ths_holder_equity_growth_ny_stock,ths_net_asset_yield_growth_ny_stock,ths_open_price_stock,ths_close_price_stock,ths_low_stock,ths_high_price_stock,year,ths_latest_subject_rating_stock,ths_revenue_pp_stock,ths_sm_annual_total_salary_stock,ths_postgraduate_num_ratio_stock,ths_tech_num_ratio_stock,ths_manage_staff_ratio_stock,mean_score,std_score,quater_score,quater3_score
0,2018-12-03,300750.SZ,制造业,,,,,,,17.043422065523,81.775827527321,12645226.0,3703425.0,3875232.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.8207552528109,48969.0,0.38725286523151,,,564980123.4,一般法人,,,,,,,,82.52,80.85,80.56,83.49,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
1,2018-12-04,300750.SZ,制造业,,,,,,,17.043422065523,82.01674039541,9579665.0,2828864.0,2146815.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.4096392875002,616086.0,6.431185224118,,,575112729.2,一般法人,,,,,,,,80.2,82.3,80.04,83.08,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
2,2018-12-05,300750.SZ,制造业,,,,,,,17.043422065523,81.480826562317,7391554.0,1532500.0,1763382.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.4024245017001,-291030.0,-3.9373317167134,,,568613885.48,一般法人,,,,,,,,81.0,81.37,80.6,82.6,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
3,2018-12-06,300750.SZ,制造业,,,,,,,17.043422065523,80.597489546041,11385399.0,2203502.0,3637000.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.2408411707784,-2064771.0,-18.135253757905,,,552122196.04,一般法人,,,,,,,,80.8,79.01,79.0,82.28,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
4,2018-12-07,300750.SZ,制造业,,,,,,,17.043422065523,79.923453100095,5642133.0,701922.0,956253.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5971441947188,-434157.0,-7.694908999841,,,556943918.8,一般法人,,,,,,,,79.18,79.7,79.18,80.46,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
5,2018-12-10,300750.SZ,制造业,,,,,,,17.043422065523,78.06746932724,7606831.0,758464.0,1734331.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.501519189969,-1667819.0,-21.925280054204,,,547090833.16,一般法人,,,,,,,,79.45,78.29,76.8,80.37,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
6,2018-12-11,300750.SZ,制造业,,,,,,,17.043422065523,78.515001614464,3450062.0,412300.0,348680.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5881065715254,-109142.0,-3.1634793809503,,,548977594.24,一般法人,,,,,,,,78.5,78.56,77.82,79.18,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
7,2018-12-12,300750.SZ,制造业,,,,,,,17.043422065523,81.006044815282,9472483.0,2488288.0,1345527.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.3603020760097,1209689.0,12.770558680338,,,569522326.0,一般法人,,,,,,,,79.34,81.5,79.0,81.98,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
8,2018-12-13,300750.SZ,制造业,,,,,,,17.043422065523,81.614757891168,7244428.0,1518146.0,1397898.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.3347005687846,202054.0,2.7890952881304,,,573785008.44,一般法人,,,,,,,,81.92,82.11,80.58,82.27,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
9,2018-12-14,300750.SZ,制造业,,,,,,,17.043422065523,80.843986360366,7090513.0,916227.0,1708865.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.2638515744894,-953221.0,-13.443611202744,,,554428237.36,一般法人,,,,,,,,81.93,79.34,79.31,82.48,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
